# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "2" "-t" "gene" "-g" "gene_id" "-a" "/mnt/d/rna_seq/gtf/Oryza_sativa.IRGSP-1.0.50.chr.gtf" "-o" "counts.txt" "-M" "SRR12073954.bam" "SRR12073955.bam" "SRR12073956.bam" "SRR12073957.bam" "SRR12073958.bam" "SRR12073959.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR12073954.bam	SRR12073955.bam	SRR12073956.bam	SRR12073957.bam	SRR12073958.bam	SRR12073959.bam
Os01g0245700	1	8033763	8035082	-	1320	4	1	0	7	9	1
Os01g0245901	1	8038422	8039750	-	1329	4	1	0	2	1	0
Os01g0246100	1	8047388	8055598	-	8211	1467	1407	1062	916	1022	1076
Os01g0246200	1	8057414	8062717	-	5304	0	3	0	0	0	0
Os01g0246400	1	8061858	8062892	+	1035	75	45	28	62	26	44
Os01g0246500	1	8064860	8069013	-	4154	108	132	129	112	196	116
Os01g0246601	1	8071122	8071808	-	687	1	1	2	0	0	0
Os01g0246700	1	8084184	8086980	+	2797	546	580	396	633	456	332
Os01g0247500	1	8125672	8128014	-	2343	18	18	27	19	16	15
Os01g0247550	1	8126659	8127416	+	758	0	0	0	0	0	0
Os01g0247600	1	8130258	8130932	+	675	0	0	0	0	0	0
Os01g0247700	1	8132699	8135454	-	2756	42	52	47	89	149	87
Os01g0247900	1	8146442	8148059	-	1618	1	1	5	0	0	0
Os01g0248000	1	8152795	8153685	-	891	0	0	0	0	0	0
Os01g0248300	1	8159901	8161287	+	1387	0	0	0	0	0	0
Os01g0248350	1	8159918	8160693	-	776	0	0	0	0	0	0
Os01g0248400	1	8170309	8175903	+	5595	8	8	21	13	19	20
Os01g0248450	1	8171631	8175231	-	3601	0	0	0	0	0	0
Os01g0248500	1	8175587	8177889	-	2303	49	37	35	18	17	8
Os01g0248600	1	8179040	8183108	-	4069	279	322	274	187	199	176
Os01g0248701	1	8191032	8192289	+	1258	4	1	8	0	0	0
Os01g0248800	1	8193455	8194256	+	802	0	0	0	0	0	2
Os01g0248850	1	8193566	8194125	-	560	0	0	0	0	0	0
Os01g0248900	1	8196083	8197096	-	1014	0	3	0	0	0	0
Os01g0249050	1	8201959	8202513	+	555	0	0	0	0	0	0
Os01g0249100	1	8202020	8202772	-	753	0	0	0	0	0	0
Os01g0249200	1	8203832	8206969	-	3138	646	572	895	91	67	117
Os01g0249300	1	8212469	8215133	-	2665	620	643	680	372	393	393
Os01g0249700	1	8229331	8229903	+	573	0	0	0	0	0	0
Os01g0249800	1	8233016	8233871	+	856	4	23	0	4	10	3
Os01g0249900	1	8234625	8235833	-	1209	255	299	299	215	231	235
Os01g0250200	1	8247740	8247985	-	246	0	0	0	0	0	0
Os01g0250600	1	8269588	8272570	+	2983	237	217	251	189	159	209
Os01g0250900	1	8275474	8283959	+	8486	493	458	607	206	294	295
Os01g0251000	1	8284469	8289120	+	4652	466	412	437	339	288	317
Os01g0251100	1	8291337	8296089	+	4753	401	482	542	219	240	236
Os01g0251200	1	8297615	8302401	+	4787	883	1045	926	726	657	640
Os01g0251400	1	8305749	8306555	-	807	211	183	248	94	111	87
Os01g0252100	1	8329791	8333933	+	4143	1215	1052	1214	507	603	757
Os01g0252150	1	8331441	8333267	-	1827	0	0	0	0	0	0
Os01g0252200	1	8334519	8338574	+	4056	279	237	256	191	185	184
Os01g0252300	1	8339050	8339456	-	407	0	0	0	4	0	0
Os01g0252400	1	8339174	8339709	+	536	0	0	0	8	0	0
Os01g0252600	1	8344471	8346041	+	1571	10	14	24	7	6	4
Os01g0252900	1	8359017	8362270	-	3254	192	247	155	187	147	196
Os01g0253000	1	8364116	8365711	-	1596	0	2	3	0	5	0
Os01g0253050	1	8364602	8366959	+	2358	3	7	0	1	1	5
Os01g0253100	1	8367189	8375401	-	8213	931	980	944	609	547	581
Os01g0253200	1	8380048	8380745	+	698	0	1	0	1	0	3
Os01g0253300	1	8382115	8387231	+	5117	4946	4710	4801	4743	4337	4251
Os01g0253400	1	8387589	8388859	-	1271	18	8	29	4	4	13
Os01g0253500	1	8394453	8395607	+	1155	8	5	3	0	0	0
Os01g0253600	1	8396551	8398584	-	2034	270	241	262	206	217	237
Os01g0253800	1	8401548	8402325	-	778	18	6	6	14	20	20
Os01g0253900	1	8404247	8408353	+	4107	3700	3930	1917	5972	5343	4684
Os01g0254000	1	8413916	8418925	-	5010	2493	3182	2553	2686	2624	2532
Os01g0254100	1	8420995	8430280	-	9286	5374	5341	4638	2585	3350	3712
Os01g0254200	1	8444463	8447053	-	2591	627	647	617	279	358	277
Os01g0254300	1	8447731	8451489	-	3759	1	8	0	0	0	0
Os01g0254350	1	8448082	8450982	+	2901	0	0	0	0	0	0
Os01g0254400	1	8455342	8456022	+	681	0	0	0	0	0	0
Os01g0254800	1	8466262	8469359	-	3098	305	257	239	232	189	232
Os01g0254850	1	8471334	8472108	-	775	0	0	1	0	0	0
Os01g0254900	1	8475504	8479452	-	3949	2828	2443	2272	1620	1995	1681
Os01g0254950	1	8478876	8479870	+	995	11	13	4	9	13	5
Os01g0255000	1	8486578	8489618	+	3041	790	765	829	591	620	490
Os01g0255100	1	8490582	8492345	+	1764	0	15	3	13	12	6
Os01g0255700	1	8523748	8525716	-	1969	19	13	17	10	23	26
Os01g0256300	1	8535675	8537264	-	1590	0	0	0	0	0	0
Os01g0256400	1	8540755	8544460	+	3706	503	540	562	282	344	395
Os01g0256500	1	8546065	8546869	-	805	6594	5697	5263	10002	9572	7769
Os01g0256600	1	8555289	8557146	-	1858	28	38	35	22	32	22
Os01g0256800	1	8560625	8569629	-	9005	273	279	305	76	123	153
Os01g0256900	1	8570880	8574555	-	3676	663	673	788	609	496	531
Os01g0257100	1	8577244	8577934	-	691	27	27	27	7	6	13
Os01g0257300	1	8586157	8586941	-	785	300	196	147	92	132	132
Os01g0257400	1	8593792	8599448	-	5657	633	643	519	401	475	520
Os01g0257900	1	8626746	8630032	-	3287	4	12	40	6	2	2
Os01g0258000	1	8627878	8629136	+	1259	0	0	0	0	0	0
Os01g0258100	1	8630485	8633592	-	3108	47	37	19	36	22	15
Os01g0258600	1	8657086	8658466	+	1381	6	5	21	5	2	12
Os01g0258700	1	8659413	8664796	-	5384	2954	3111	2262	1475	1719	2082
Os01g0259200	1	8683011	8687579	+	4569	974	914	828	581	557	654
Os01g0259300	1	8689258	8689797	-	540	7	4	12	4	0	3
Os01g0259400	1	8691829	8699628	-	7800	37	58	18	30	14	22
Os01g0259600	1	8701299	8708612	-	7314	1380	1023	941	743	879	802
Os01g0259900	1	8718704	8720961	+	2258	112	138	151	109	105	86
Os01g0259933	1	8722666	8723283	+	618	45	59	26	10	16	24
Os01g0259966	1	8728995	8729512	+	518	1	0	6	5	3	9
ENSRNA049471239	1	8729130	8729248	+	119	0	0	0	0	0	0
Os01g0260000	1	8733343	8734486	+	1144	12	18	5	15	7	3
Os01g0260100	1	8734767	8741720	-	6954	27	32	11	16	19	11
Os01g0260500	1	8747124	8753486	+	6363	14	24	31	17	26	17
Os01g0260700	1	8759419	8763457	+	4039	898	1077	964	641	807	748
Os01g0260800	1	8767828	8773510	+	5683	108	114	152	51	57	48
Os01g0260950	1	8783473	8785385	+	1913	0	2	0	0	0	2
Os01g0261000	1	8786513	8786927	-	415	0	0	0	0	0	0
Os01g0261100	1	8786623	8792221	+	5599	2190	2337	1843	1771	1812	1856
Os01g0261200	1	8792649	8797358	-	4710	1317	1605	1345	931	946	1159
Os01g0261500	1	8809389	8813014	+	3626	174	191	212	91	95	173
Os01g0261600	1	8816863	8818318	-	1456	0	0	0	0	0	0
Os01g0261700	1	8821136	8822609	-	1474	0	1	0	0	0	0
Os01g0262000	1	8835574	8837029	+	1456	0	0	0	0	0	0
Os01g0262401	1	8856489	8857022	-	534	0	0	0	0	0	0
Os01g0262500	1	8883493	8885388	+	1896	278	169	172	174	232	145
Os01g0262600	1	8885632	8892462	-	6831	421	423	471	282	268	314
Os01g0262700	1	8892598	8900134	+	7537	480	423	438	263	271	287
Os01g0263000	1	8903598	8905415	-	1818	0	0	0	0	0	0
Os01g0263300	1	8917756	8919968	+	2213	58	24	28	22	45	24
Os01g0263400	1	8921590	8924862	-	3273	70	68	45	55	50	61
Os01g0263500	1	8925072	8929646	+	4575	392	358	261	214	214	239
Os01g0263600	1	8931299	8948832	+	17534	281	328	170	254	257	249
Os01g0264000	1	8949337	8951088	-	1752	49	21	38	46	42	40
Os01g0263900	1	8949612	8950796	+	1185	0	0	0	0	0	0
Os01g0264100	1	8961073	8966217	+	5145	6	5	5	1	0	6
Os01g0264125	1	8964284	8965882	-	1599	0	0	0	0	0	0
Os01g0264400	1	8986253	8987397	+	1145	165	155	144	41	90	54
Os01g0264500	1	8988911	8992577	+	3667	299	335	349	345	268	213
Os01g0264600	1	8995314	8996892	+	1579	29	18	11	22	22	20
Os01g0264700	1	9004534	9008221	-	3688	2906	3138	2619	2969	2597	2261
Os01g0264900	1	9016289	9016581	+	293	356	374	387	229	343	321
Os01g0265000	1	9018144	9019762	+	1619	91	66	77	65	52	50
Os01g0265100	1	9019849	9024048	-	4200	148	146	171	15	15	11
Os01g0265200	1	9024970	9028874	-	3905	10290	6122	4676	3833	5002	5206
Os01g0265400	1	9040786	9053950	-	13165	189	236	206	96	92	108
Os01g0265700	1	9057858	9061022	-	3165	199	239	243	133	161	145
Os01g0265800	1	9063968	9066786	-	2819	1640	1676	1580	1454	1457	1373
Os01g0265900	1	9067828	9071250	-	3423	305	310	290	255	250	242
Os01g0266000	1	9074613	9083794	+	9182	820	1040	833	535	571	636
Os01g0266100	1	9088088	9089013	+	926	41	28	24	43	77	30
Os01g0266200	1	9095173	9099512	+	4340	75	100	87	37	65	56
Os01g0266400	1	9113868	9114423	+	556	294	387	274	114	117	116
Os01g0266500	1	9114579	9117424	-	2846	301	342	373	135	132	134
Os01g0266600	1	9118186	9121411	-	3226	768	930	798	627	573	615
Os01g0266800	1	9133740	9140430	-	6691	587	514	514	884	934	792
Os01g0267050	1	9159637	9160291	-	655	0	0	1	0	2	0
Os01g0267100	1	9159753	9165677	+	5925	1459	1603	1166	1274	1134	1359
Os01g0267200	1	9166370	9169867	+	3498	1087	1308	1173	832	829	778
Os01g0267300	1	9171328	9172907	+	1580	0	0	4	1	1	0
Os01g0267400	1	9173234	9175902	-	2669	90	118	123	73	81	55
Os01g0267600	1	9179218	9181984	-	2767	189	212	154	154	124	141
Os01g0267800	1	9192164	9193439	+	1276	15	27	23	42	31	38
Os01g0267900	1	9195546	9198962	-	3417	442	454	528	249	225	276
Os01g0268000	1	9201354	9202372	+	1019	5	29	26	18	8	23
Os01g0268100	1	9204377	9211643	-	7267	5	9	9	1	15	8
Os01g0268201	1	9204472	9209552	+	5081	0	0	0	0	0	0
Os01g0268300	1	9225213	9237025	+	11813	647	696	568	510	429	446
Os01g0268600	1	9245577	9253404	+	7828	163	176	127	184	175	118
Os01g0268700	1	9253938	9255239	-	1302	8	0	0	2	1	0
Os01g0268733	1	9254067	9255167	+	1101	0	0	0	0	0	0
Os01g0268800	1	9259148	9264227	+	5080	596	645	490	579	597	419
Os01g0268900	1	9264978	9268375	+	3398	64	73	112	49	33	43
Os01g0269000	1	9268690	9272912	-	4223	1039	1032	795	1315	1215	1240
Os01g0269100	1	9273876	9279031	-	5156	733	759	800	468	476	492
Os01g0269500	1	9293193	9299711	+	6519	80	120	62	40	51	86
Os01g0269550	1	9300816	9304312	+	3497	46	46	38	19	20	32
Os01g0269800	1	9316276	9318060	+	1785	3	3	2	2	4	12
Os01g0269900	1	9319015	9323339	-	4325	53	50	39	42	36	37
Os01g0269950	1	9319350	9321607	+	2258	0	0	0	0	0	0
Os01g0270100	1	9325669	9329331	-	3663	4984	5124	4505	5785	5839	4781
Os01g0270300	1	9339815	9342240	+	2426	131	132	142	30	33	53
Os01g0270501	1	9341228	9341966	-	739	0	0	0	0	0	0
Os01g0270700	1	9348658	9350721	+	2064	0	0	0	0	0	0
Os01g0271000	1	9370627	9373600	+	2974	320	253	289	210	155	220
Os01g0271200	1	9373756	9378200	-	4445	668	674	642	212	264	180
Os01g0271400	1	9379123	9383262	-	4140	182	184	222	118	145	131
Os01g0271500	1	9386202	9390616	+	4415	1220	1306	1254	597	716	735
Os01g0271700	1	9394143	9396611	-	2469	310	319	321	214	310	233
Os01g0272600	1	9424556	9429189	+	4634	25	51	25	8	32	15
Os01g0272650	1	9424753	9428782	-	4030	0	0	0	0	0	0
Os01g0272700	1	9429955	9430747	-	793	0	13	1	2	0	0
Os01g0272800	1	9431735	9434046	-	2312	0	0	0	0	0	0
Os01g0272850	1	9431788	9435864	+	4077	91	64	49	117	70	59
Os01g0272901	1	9438930	9439364	+	435	0	0	0	0	0	0
Os01g0273000	1	9441654	9444212	-	2559	451	511	555	270	328	354
Os01g0273100	1	9445685	9446494	+	810	6	15	9	0	0	0
Os01g0273150	1	9447054	9450883	+	3830	0	0	2	0	0	1
Os01g0273200	1	9447788	9450787	-	3000	0	0	0	0	0	0
Os01g0273300	1	9454976	9456923	+	1948	953	846	860	526	631	595
Os01g0273500	1	9470130	9475187	+	5058	322	308	238	195	172	218
Os01g0273800	1	9488825	9493964	+	5140	1626	1474	1924	517	647	846
Os01g0273850	1	9492587	9492992	-	406	0	0	0	0	0	0
Os01g0273900	1	9495603	9502985	+	7383	0	0	0	0	0	0
Os01g0274100	1	9512985	9515102	+	2118	9	8	15	0	0	0
Os01g0274201	1	9513637	9514004	-	368	0	0	0	0	0	0
Os01g0274300	1	9519722	9520278	+	557	1	0	1	4	0	1
Os01g0274500	1	9526187	9526984	+	798	0	4	0	11	2	0
Os01g0274601	1	9558283	9563016	+	4734	0	0	0	0	0	0
Os01g0274800	1	9567528	9569192	-	1665	160	136	170	55	73	87
Os01g0274901	1	9586809	9593449	+	6641	0	0	0	0	0	0
Os01g0275200	1	9613644	9619072	-	5429	10	9	50	14	18	10
Os01g0275300	1	9625243	9625889	+	647	138	112	142	94	93	75
Os01g0275500	1	9626942	9630057	-	3116	1	8	9	3	4	2
Os01g0275600	1	9631334	9638881	-	7548	7063	6705	6198	6372	5629	5549
Os01g0275700	1	9642417	9642487	-	71	0	0	0	0	0	0
Os01g0275800	1	9644431	9653253	+	8823	25	35	10	29	34	37
Os01g0275900	1	9644443	9647828	-	3386	0	0	0	0	0	0
Os01g0275950	1	9648667	9651434	-	2768	0	0	0	0	0	0
ENSRNA049471251	1	9655563	9655656	-	94	22	43	26	14	29	21
ENSRNA049471325	1	9655929	9656016	-	88	8	8	0	1	8	8
ENSRNA049471273	1	9656133	9656232	-	100	4	15	9	10	3	6
Os01g0276000	1	9658174	9661275	-	3102	552	615	709	413	438	372
Os01g0276033	1	9658501	9661024	+	2524	0	0	0	0	0	0
Os01g0276066	1	9659330	9659922	-	593	0	0	0	0	0	0
ENSRNA049471283	1	9659592	9659685	-	94	0	0	0	0	0	0
ENSRNA049471225	1	9659828	9659922	-	95	0	0	0	0	0	0
ENSRNA049471342	1	9660381	9660475	-	95	0	0	0	0	0	0
Os01g0276100	1	9665409	9670111	+	4703	1047	1247	1136	902	839	852
Os01g0276200	1	9671077	9676036	-	4960	456	515	414	289	254	289
Os01g0276300	1	9679828	9680883	+	1056	6175	6904	4436	12546	9794	6805
Os01g0276400	1	9682795	9684110	-	1316	160	171	174	89	120	86
Os01g0276500	1	9684848	9689506	-	4659	309	493	448	195	239	242
Os01g0276600	1	9690348	9692094	+	1747	146	168	184	56	93	73
Os01g0276650	1	9691036	9691721	-	686	0	0	0	0	0	0
Os01g0276700	1	9694027	9699817	-	5791	251	389	276	239	152	182
Os01g0276800	1	9702737	9709686	-	6950	2163	2418	2287	1540	1390	1547
Os01g0276900	1	9711631	9712419	-	789	185	113	137	184	236	160
Os01g0277100	1	9727698	9728244	+	547	0	8	13	0	1	0
Os01g0277500	1	9733832	9738224	+	4393	37	52	49	19	13	25
Os01g0277600	1	9738449	9744876	-	6428	800	845	560	644	617	650
Os01g0277700	1	9750124	9753739	+	3616	432	441	491	256	314	260
ENSRNA049471293	1	9760706	9760898	-	193	0	0	0	0	0	0
Os01g0278000	1	9770018	9771047	-	1030	127	158	142	135	118	129
Os01g0278050	1	9787093	9787848	+	756	145	108	82	130	88	166
Os01g0278100	1	9788633	9789771	-	1139	3	2	0	2	1	4
Os01g0278200	1	9793959	9796133	-	2175	171	126	181	79	130	65
Os01g0278466	1	9809349	9809555	-	207	48	57	79	39	37	41
Os01g0278600	1	9816821	9822750	+	5930	163	129	110	102	57	72
Os01g0278900	1	9859354	9860677	+	1324	116	98	215	39	55	60
Os01g0278950	1	9863216	9866617	+	3402	0	1	3	0	3	0
Os01g0278975	1	9863798	9866492	-	2695	0	0	0	0	0	0
Os01g0279000	1	9866730	9870864	+	4135	11	21	10	0	8	1
Os01g0279100	1	9874379	9876678	+	2300	1678	1402	1889	675	865	1108
Os01g0279200	1	9878384	9885517	+	7134	1697	1541	1358	1336	1383	1293
Os01g0279300	1	9887657	9889123	+	1467	1373	1273	1443	736	819	794
Os01g0279400	1	9889550	9902737	-	13188	113	49	112	81	69	61
Os01g0279500	1	9892418	9896053	+	3636	0	0	0	0	0	0
Os01g0279700	1	9913390	9917318	+	3929	994	861	761	555	682	635
Os01g0279800	1	9917593	9921565	-	3973	695	770	941	417	454	367
Os01g0279900	1	9928971	9935981	+	7011	543	520	500	336	365	367
Os01g0280000	1	9936850	9947933	-	11084	1022	997	750	594	584	602
Os01g0280200	1	9954154	9955696	+	1543	0	0	0	0	0	0
Os01g0280400	1	9962807	9966715	+	3909	435	460	322	178	235	189
Os01g0280500	1	9967185	9969073	-	1889	0	1	0	0	1	0
Os01g0280600	1	9969576	9970900	-	1325	0	0	0	0	0	0
Os01g0281000	1	10003952	10007742	+	3791	524	548	550	453	475	444
Os01g0281050	1	10004574	10005089	-	516	0	0	0	0	0	0
Os01g0281100	1	10008075	10011595	-	3521	212	207	221	159	223	201
Os01g0281200	1	10011875	10015468	-	3594	11	0	5	0	0	0
Os01g0281250	1	10012164	10014100	+	1937	0	0	0	0	0	0
Os01g0281301	1	10019633	10020376	-	744	12	15	16	16	19	14
Os01g0281400	1	10021423	10027120	-	5698	2868	3154	2833	1242	1411	1442
Os01g0281600	1	10048273	10050309	-	2037	29	27	55	4	9	9
Os01g0282251	1	10074477	10079135	+	4659	6	18	11	1	1	9
Os01g0282800	1	10099352	10102948	-	3597	247	313	350	61	73	56
Os01g0282866	1	10099705	10102286	+	2582	0	0	0	0	0	0
Os01g0283000	1	10113431	10119022	-	5592	159	153	102	69	109	121
Os01g0283100	1	10119242	10123678	+	4437	1355	1401	1650	877	930	868
Os01g0283300	1	10134096	10135327	+	1232	5372	3769	4708	2668	2190	2315
Os01g0283400	1	10136482	10137054	+	573	5	12	17	6	12	10
Os01g0283500	1	10137726	10140166	-	2441	463	537	507	295	348	306
Os01g0283600	1	10144374	10146312	+	1939	9	9	6	0	1	10
Os01g0283700	1	10148777	10152280	+	3504	5	1	10	3	0	0
Os01g0284300	1	10164402	10165541	+	1140	0	0	0	0	0	0
Os01g0284500	1	10167946	10168997	-	1052	74	67	50	56	42	64
Os01g0284700	1	10193658	10196611	+	2954	252	337	406	163	228	168
Os01g0284900	1	10200477	10203472	-	2996	61	83	70	68	75	40
Os01g0285200	1	10214072	10217665	+	3594	1	11	0	4	4	1
Os01g0285300	1	10217782	10219691	-	1910	45	45	23	16	25	23
Os01g0286000	1	10264587	10267953	+	3367	192	158	190	72	116	99
Os01g0286100	1	10271157	10274304	-	3148	308	302	329	322	165	192
Os01g0286200	1	10272708	10275638	+	2931	14	0	4	6	4	7
Os01g0286500	1	10289186	10289952	-	767	12	9	5	4	8	11
Os01g0286550	1	10291818	10292251	-	434	0	0	0	0	0	0
Os01g0286600	1	10291889	10295449	+	3561	158	243	255	53	82	66
Os01g0286900	1	10312342	10314826	+	2485	132	87	53	152	104	79
Os01g0287400	1	10333794	10334375	+	582	40	25	25	43	51	22
Os01g0287600	1	10342026	10343570	-	1545	0	3	0	0	3	0
Os01g0287700	1	10346287	10349999	-	3713	402	314	265	224	290	231
Os01g0287900	1	10366413	10366924	-	512	2	0	1	1	0	0
Os01g0288200	1	10369936	10370578	-	643	0	0	0	0	0	0
Os01g0288700	1	10398599	10399256	+	658	0	4	8	1	0	5
Os01g0288800	1	10399289	10400347	-	1059	0	0	0	2	2	0
Os01g0289100	1	10432248	10432766	-	519	4	4	2	1	3	0
Os01g0289600	1	10471169	10478800	+	7632	262	211	122	202	112	153
Os01g0289732	1	10477926	10478798	-	873	0	0	0	0	0	0
Os01g0289750	1	10487870	10488107	-	238	0	0	0	1	0	0
Os01g0289900	1	10488943	10490994	-	2052	0	0	0	0	0	0
Os01g0289950	1	10489015	10491186	+	2172	0	0	0	0	0	0
Os01g0290000	1	10492039	10495682	-	3644	2079	1792	2531	893	734	1022
Os01g0290100	1	10496869	10500943	-	4075	1579	1808	1587	1381	1086	1022
Os01g0290600	1	10509008	10510496	+	1489	112	137	145	69	51	50
Os01g0290650	1	10514370	10516248	+	1879	10	14	9	2	9	2
Os01g0290700	1	10515442	10516270	-	829	27	39	27	11	11	14
Os01g0290800	1	10516472	10518597	+	2126	1141	970	797	471	597	548
Os01g0290901	1	10536286	10536571	-	286	0	0	0	0	0	0
Os01g0291500	1	10561330	10565325	-	3996	6	7	10	1	1	4
Os01g0291733	1	10561594	10565100	+	3507	0	0	0	0	0	0
Os01g0292200	1	10622951	10627532	+	4582	975	811	764	886	1133	1076
Os01g0292250	1	10623102	10626765	-	3664	0	0	0	0	0	0
Os01g0292700	1	10643287	10644848	+	1562	12	18	11	20	26	17
Os01g0292900	1	10650597	10656755	+	6159	931	804	595	709	764	690
Os01g0293000	1	10657543	10660137	-	2595	591	581	632	932	718	523
Os01g0293100	1	10664792	10666903	-	2112	0	1	0	1	0	0
Os01g0293200	1	10675167	10679826	+	4660	308	333	319	187	207	189
Os01g0293501	1	10691672	10692073	+	402	0	0	0	0	0	0
Os01g0293800	1	10696304	10701348	+	5045	0	0	0	0	0	0
Os01g0293900	1	10701626	10703130	-	1505	0	0	0	0	0	0
Os01g0294500	1	10720396	10721623	-	1228	0	0	0	0	0	0
Os01g0294700	1	10748692	10750233	-	1542	2	7	16	0	0	0
Os01g0295600	1	10802151	10804527	-	2377	4	5	20	6	1	6
Os01g0295700	1	10805527	10808077	-	2551	955	986	693	1261	1315	986
Os01g0295900	1	10814139	10818530	-	4392	99	82	73	38	35	60
Os01g0296000	1	10819457	10822413	-	2957	110	119	86	76	100	68
Os01g0296100	1	10822587	10827151	+	4565	1051	908	759	762	689	706
Os01g0296133	1	10824769	10826165	-	1397	0	0	0	0	0	0
Os01g0296166	1	10830074	10832018	-	1945	38	29	41	35	18	13
Os01g0296200	1	10830393	10831757	+	1365	0	0	0	0	0	0
Os01g0296450	1	10871540	10873947	-	2408	18	65	32	7	32	22
Os01g0296700	1	10872358	10874262	+	1905	10	10	13	0	7	5
Os01g0296900	1	10877446	10878567	+	1122	0	0	0	0	0	0
Os01g0297200	1	10891810	10893684	+	1875	110	73	85	67	71	57
Os01g0297700	1	10911297	10914638	+	3342	1096	962	696	964	1146	1164
Os01g0297950	1	10911475	10914251	-	2777	0	0	0	0	0	0
Os01g0298301	1	10932480	10933544	-	1065	44	31	44	21	39	37
Os01g0298400	1	10934895	10935992	+	1098	0	0	0	0	0	0
Os01g0298500	1	10942552	10945642	-	3091	121	127	98	40	29	58
Os01g0299100	1	10960528	10961310	-	783	80	71	70	19	23	57
Os01g0299150	1	10965000	10965587	+	588	4	1	13	5	0	0
Os01g0299200	1	10965767	10966999	+	1233	28	62	25	26	14	21
Os01g0299300	1	10969328	10973346	-	4019	52	47	62	19	35	20
Os01g0299400	1	10977198	10979778	+	2581	203	257	228	84	120	76
Os01g0299500	1	10980741	10983339	-	2599	488	422	469	321	365	431
Os01g0299700	1	10986093	10986991	-	899	0	0	0	0	0	0
Os01g0299801	1	10986340	10986999	+	660	0	0	0	0	0	0
Os01g0300000	1	10990819	10991617	-	799	2	0	1	0	3	2
Os01g0300200	1	10999316	11005978	-	6663	1280	1331	1460	409	476	537
Os01g0300400	1	11012295	11016215	+	3921	9	9	5	1	4	6
Os01g0300600	1	11025448	11029186	-	3739	965	916	853	474	436	443
Os01g0300900	1	11058878	11063872	+	4995	362	438	457	109	110	194
Os01g0301000	1	11065094	11068774	-	3681	342	380	332	364	344	257
Os01g0301100	1	11070897	11071960	+	1064	3	4	1	4	5	5
Os01g0301300	1	11075123	11077640	+	2518	143	67	101	76	107	66
Os01g0301500	1	11078206	11083482	-	5277	0	1	4	0	7	6
Os01g0301700	1	11089065	11093987	-	4923	74	88	52	79	51	37
Os01g0301900	1	11110199	11110480	-	282	0	0	0	0	0	0
Os01g0302000	1	11118689	11119272	+	584	24	19	36	15	9	17
Os01g0302100	1	11129520	11131876	+	2357	0	0	0	0	0	0
Os01g0302250	1	11155196	11155899	-	704	7	0	9	2	9	4
Os01g0302500	1	11167043	11174451	+	7409	125	143	118	67	61	111
Os01g0302800	1	11191761	11192447	+	687	290	295	307	167	229	222
Os01g0302900	1	11198211	11200311	+	2101	4	1	6	3	1	1
Os01g0303000	1	11202609	11203331	-	723	3312	3178	3348	1808	1853	1637
Os01g0303100	1	11208573	11209811	+	1239	36	18	25	43	16	13
Os01g0303200	1	11211855	11221413	+	9559	573	547	484	220	253	313
Os01g0303300	1	11221847	11223469	-	1623	2388	2292	1712	3359	3408	2365
Os01g0303401	1	11222066	11223392	+	1327	0	0	0	0	0	0
Os01g0303600	1	11231975	11234809	-	2835	181	213	142	354	294	242
Os01g0303800	1	11245253	11246737	+	1485	242	202	329	92	126	129
Os01g0304000	1	11249654	11251227	-	1574	1046	1356	1400	624	813	742
Os01g0304050	1	11253627	11266197	+	12571	27	36	23	20	11	23
Os01g0304100	1	11254144	11260516	-	6373	0	0	0	0	0	0
Os01g0304200	1	11269325	11273164	-	3840	0	0	0	0	0	0
Os01g0304300	1	11272159	11277795	+	5637	340	377	284	78	163	196
Os01g0304400	1	11283364	11284127	+	764	0	0	0	4	2	0
Os01g0304500	1	11299784	11307932	-	8149	44	41	26	46	20	31
Os01g0305200	1	11316720	11320061	+	3342	770	644	682	490	609	594
Os01g0305300	1	11317192	11317678	+	487	0	0	0	0	0	0
Os01g0305900	1	11350507	11356863	+	6357	103	169	125	139	142	107
Os01g0306100	1	11364355	11365344	-	990	0	1	2	0	0	0
Os01g0306200	1	11366633	11367460	-	828	0	0	0	0	0	0
Os01g0306400	1	11378620	11380071	+	1452	596	607	479	714	612	527
Os01g0306800	1	11412154	11421047	+	8894	221	147	196	64	80	85
Os01g0306900	1	11426447	11430996	-	4550	257	170	127	198	225	213
Os01g0307500	1	11458956	11463442	-	4487	0	0	0	0	0	0
Os01g0307562	1	11494771	11496222	-	1452	111	96	76	105	149	136
Os01g0307624	1	11502003	11504425	-	2423	13	0	0	5	4	4
Os01g0307686	1	11505079	11506118	-	1040	55	76	58	154	84	54
Os01g0307750	1	11515321	11515989	+	669	0	0	0	0	0	0
Os01g0308200	1	11526387	11530094	-	3708	0	3	1	0	0	0
Os01g0308300	1	11526651	11529893	+	3243	0	0	0	0	0	0
Os01g0308600	1	11544302	11545430	-	1129	377	373	343	433	394	302
Os01g0308700	1	11549976	11550801	-	826	0	22	7	3	0	8
Os01g0309100	1	11585607	11586480	+	874	951	806	885	802	1202	1038
Os01g0309451	1	11607650	11608129	-	480	8	10	7	9	1	8
Os01g0309800	1	11611069	11612597	+	1529	87	48	97	13	16	16
Os01g0309900	1	11618335	11622522	+	4188	2171	1377	1389	1019	1332	1300
Os01g0309966	1	11619605	11620204	-	600	0	0	0	0	0	0
